year,beetle_density,parasitoid_density,defoliation,bird_index
0,0.881346,0.150111,0.0,1.6116
1,0.908946,0.011613,0.043331,1.5236
2,0.930758,0.001325,0.045576,1.5553
3,0.83246,0.0,0.057804,1.6112
4,0.870662,0.00032,0.052028,1.7024
5,1.05846,0.0,0.06519,1.6131
6,1.193919,0.0,0.067242,1.5871
7,1.238398,0.000317,0.070305,1.5477
8,1.412606,0.0,0.069779,1.6096
9,1.398589,0.0,0.076122,1.4649
10,1.457414,0.0,0.093037,1.5875
11,1.413996,0.0,0.087522,1.5735
12,1.446202,0.000166,0.09383,1.564
13,1.709781,0.0,0.098324,1.706
14,1.651362,0.000204,0.103999,1.4663
15,1.763042,0.000484,0.100722,1.5889
16,1.637686,0.0,0.101985,1.5934
17,1.755906,0.0,0.107797,1.6134
18,1.728556,0.000103,0.109484,1.5099
19,1.805992,0.0002,0.117432,1.5667
20,1.972021,0.0,0.1166,1.5152
21,1.813659,5e-06,0.118928,1.5836
22,1.915601,0.00035,0.120313,1.5998
23,1.995109,0.000332,0.127611,1.5982
24,1.951076,0.000186,0.119952,1.5801
25,2.003407,0.0,0.121639,1.5993
26,2.023105,0.0,0.129911,1.5989
27,2.089066,0.000158,0.125851,1.6103
28,2.035526,0.0,0.129228,1.5913
29,2.1032,0.0,0.12443,1.5009
30,2.096816,0.0,0.129077,1.5493
